s,s7-8,s3-1,s8-1,s7-3,s1-2,s3-4,s3-5,s3-6,b1-3-4,b1-3-5,b1-3-6,b2-1-3,b2-1-8,b7-3-4,b7-3-5,b7-3-6,t2-1-8-7,t1-8-7-3
-8.84809506155,-0.0273961854783,-0.0836673879589,-0.000881048894547,-0.000496766967024,-0.00196630712055,-0.000286856076236,-0.000690625754785,-0.000280058485842,-0.032143493261,-0.0728739165635,-0.0321435207619,0.217340671789,-0.000547617507944,0.000742742199349,-0.000515475471374,0.000742117668541,3.97978477654e-09,2.14877212859e-07
-8.81810097342,-0.0247407378952,-0.0800195015645,-0.000978306832457,-0.000436380652342,-0.0021810840548,-0.000257970069456,-0.00067139780625,-0.000249277302562,-0.0322883975487,-0.0731403410304,-0.0322888789335,0.212080180309,-0.000568075013651,0.000759479758836,-0.000503662932082,0.000758498613262,-2.23533589123e-09,2.89379387817e-07
-8.78810687957,-0.0222196776188,-0.0765290297211,-0.00105268310771,-0.000382781644824,-0.0024207230648,-0.00023397351503,-0.000590521154594,-0.000242467804918,-0.0323924473291,-0.0733265796338,-0.0323922740567,0.206979277888,-0.00057657549602,0.000778958211754,-0.000500600319386,0.000779757470901,1.57296325241e-09,-2.62832866588e-07
-8.75811278027,-0.0198325213159,-0.0731830034928,-0.00115263273077,-0.000325758137859,-0.00265970176952,-0.000230592346536,-0.000536308254291,-0.000224474819307,-0.0324479318965,-0.0734091244741,-0.0324479039105,0.202042509637,-0.000564703322365,0.000799983857868,-0.000504066481975,0.000799527240006,-2.03638200231e-09,1.66194068051e-07
-8.72811867579,-0.0175982985349,-0.0699836314054,-0.00123698607294,-0.000281502631815,-0.00291233675497,-0.000208933671134,-0.000473100591561,-0.000214795796384,-0.0324493709702,-0.0733760525172,-0.0324492050184,0.197291285313,-0.000521218301657,0.000820466783667,-0.000510816046338,0.000820975672807,7.92614380929e-10,-1.59515602138e-07
-8.69812456641,-0.0154967197898,-0.0669496911102,-0.00134512096664,-0.000234475131591,-0.00316702230049,-0.000210068623453,-0.000412509313052,-0.000202947354597,-0.0323850480866,-0.0732167265918,-0.0323852164007,0.192758247009,-0.000400854978383,0.000844638710559,-0.000519808655091,0.000843966547554,4.11597710909e-09,2.13920309183e-07
-8.66813045199,-0.0136301580835,-0.0640380738517,-0.0014464082936,-0.00019254129151,-0.00341293699526,-0.000190593791438,-0.000362904877333,-0.000189862847865,-0.0322576674473,-0.0728984869978,-0.0322574668124,0.188402091703,-0.000357075482672,0.000867996211899,-0.000554685106934,0.000867995878602,-1.28013103173e-09,2.58074185518e-08
-8.63813633386,-0.0118620205453,-0.0613131911198,-0.00153276192066,-0.000156710954759,-0.00368146668409,-0.000173612588487,-0.00031922593581,-0.000174603805284,-0.0320762157507,-0.0724575397926,-0.0320759955735,0.184361247648,-9.93490186628e-05,0.000879294242583,-0.000560123408177,0.000879474950965,-5.62610844336e-09,-3.25383310391e-08
-8.6081422112,-0.0102868559407,-0.0587601201144,-0.00163430574575,-0.00012084329945,-0.00394847172655,-0.000165345202755,-0.000281772648715,-0.000169095841419,-0.031820913096,-0.0718638563336,-0.0318208704733,0.180610768104,0.000193626544138,0.000895614885024,-0.000582423817523,0.000895931014717,5.57448190428e-09,-1.09864336181e-07
-8.57814808462,-0.00889052867748,-0.0563904286597,-0.00174789960947,-9.28796715506e-05,-0.00421706962591,-0.000155145476433,-0.000234778509866,-0.000154321635589,-0.0314999015962,-0.0711279423607,-0.0314998436004,0.177201193942,0.000572192144343,0.000910622487089,-0.000606472168982,0.00091056080667,-4.65065321361e-09,3.32977717931e-08
-8.54815395441,-0.00769560063408,-0.0541955111825,-0.00184826732563,-6.40004538534e-05,-0.00449240782727,-0.000149903755269,-0.000208260945134,-0.000142935952824,-0.0311150665956,-0.0702529866853,-0.0311155425401,0.174152213105,0.0010179479399,0.000922727453991,-0.000632055702072,0.000921942909814,-7.88275731651e-09,2.23177711662e-07
-8.51815982085,-0.00671057140115,-0.0521677463432,-0.00195792606208,-4.19065537692e-05,-0.00477322889173,-0.000140851328072,-0.000178386381707,-0.000141170139356,-0.0306696836406,-0.0692452669431,-0.030669543356,0.171459459678,0.00150288327959,0.00093149947246,-0.000657648902608,0.000931563157309,-3.67494153593e-08,2.1661776871e-08
-8.48816568419,-0.00593995297246,-0.0502893247946,-0.00206611247313,-2.19315209473e-05,-0.00505438863936,-0.000135989757322,-0.000151270609129,-0.00013437219771,-0.0301654222706,-0.0681105023176,-0.030165500072,0.169098128937,0.00200418512082,0.000938286506522,-0.00068365533037,0.00093812967223,1.22725940856e-08,3.73094029117e-08
