s,s7-8,s3-1,s8-1,s7-3,s1-2,s3-4,s3-5,s3-6,b1-3-4,b1-3-5,b1-3-6,b2-1-3,b2-1-8,b7-3-4,b7-3-5,b7-3-6,t2-1-8-7,t1-8-7-3
-9.32799925974,-0.25721238346,-0.745260643704,-0.000204507394355,0.000362342711043,-0.000151304648974,-0.000289281470167,-8.81690202098e-09,-0.000289270322757,0.0349879755613,0.0787464111743,0.0349879748123,-0.0636769265309,-0.00145975016098,0.000460950975486,-0.00197457702386,0.000460950574219,-3.29167687197e-11,-1.03379755243e-09
-9.29800534649,-0.25958871742,-0.750279126189,-0.000209885517007,0.000365094387575,-0.0001562841314,-0.000289295575469,-2.11793815473e-06,-0.000289305335488,0.0340666302057,0.0765792666834,0.0340666266399,-0.054069102613,-0.00148461061711,0.000486906749118,-0.00200120279221,0.00048690722436,2.95847524111e-11,-2.20835521686e-10
-9.26801141488,-0.261843208772,-0.755064966913,-0.000215342020249,0.000367766264408,-0.00016136176591,-0.000289469570663,-4.1383264214e-06,-0.000289462174773,0.033151325258,0.0744318143329,0.033151322272,-0.0447234702464,-0.00150727899193,0.000512628136315,-0.00202729087424,0.000512627067916,1.26181543227e-11,-6.52562261198e-11
-9.23801746625,-0.263980786879,-0.759630724462,-0.000220890391008,0.000370374653891,-0.00016653388932,-0.000289778508461,-6.16289316812e-06,-0.000289787723649,0.0322416050383,0.0723024862219,0.0322416062697,-0.0356307726185,-0.00152799549459,0.000538162903818,-0.00205283672318,0.000538163954076,-7.51811489683e-12,-2.57725602078e-10
-9.2080235019,-0.266005647714,-0.763988488662,-0.000226490334277,0.000372912540739,-0.000171831765512,-0.000290224662229,-8.11971202676e-06,-0.000290223560302,0.0313366007476,0.0701887976086,0.0313365999293,-0.0267816271699,-0.00154700752727,0.000563558138688,-0.0020778093198,0.000563558474257,8.18803305242e-12,-1.4718647151e-10
-9.17802952303,-0.267921307011,-0.768149766058,-0.000232152220504,0.000375376043756,-0.000177235609885,-0.000290831971468,-1.00458677684e-05,-0.000290817281209,0.0304351272336,0.06808763194,0.0304351204918,-0.0181667423369,-0.00156455554218,0.000588855470488,-0.0021021837014,0.000588853376346,2.66315887503e-12,2.22129916577e-10
-9.14803553078,-0.269730742863,-0.772125357109,-0.000237857898132,0.000377759286676,-0.000182750366631,-0.000291571708027,-1.19500020396e-05,-0.000291565108265,0.0295357447442,0.0659954482442,0.0295357427713,-0.00977710098517,-0.00158086618913,0.000614069663452,-0.00212588580362,0.000614068674371,8.24761292699e-11,-6.33016577227e-10
-9.11804152618,-0.27143591317,-0.775925600151,-0.000243628004179,0.000380068285024,-0.000188372145523,-0.000292453442586,-1.38373151285e-05,-0.000292452483059,0.0286369444108,0.0639085946087,0.0286369446648,-0.00160377112078,-0.00159526338038,0.000639223403622,-0.00214891972275,0.000639223304109,-1.40905139755e-11,1.34793703026e-10
-9.08804751103,-0.273048910541,-0.779568085784,-0.000249455315851,0.000382308924136,-0.000194088302657,-0.000293487994833,-1.56951288144e-05,-0.000293484287985,0.0277371888066,0.0618231521473,0.0277371873233,0.00638180572604,-0.00161081254589,0.000664421533639,-0.00217124403866,0.000664421011474,-5.87531395731e-11,-2.05733989465e-10
-9.0580534846,-0.274552897351,-0.783044247467,-0.000255301097128,0.000384461337499,-0.000199919893743,-0.000294658799145,-1.75489991831e-05,-0.000294663754748,0.0268343828254,0.0597347264502,0.0268343845672,0.0141456192481,-0.00162504078203,0.000689551803145,-0.00219274508911,0.000689552462515,-1.22078092401e-11,2.38762730365e-10
-9.0280594484,-0.27595896157,-0.786369898887,-0.000261177128805,0.000386534597533,-0.000205843114604,-0.000295979717487,-1.93397007774e-05,-0.000295978696516,0.0259279444724,0.0576417047034,0.0259279444035,0.0217137575624,-0.00163908470115,0.000714672342847,-0.00221345455814,0.000714672160391,-4.16369157545e-12,-2.50180069746e-10
-8.99806540315,-0.277269026813,-0.789552214469,-0.0002670948625,0.000388529646282,-0.000211857059465,-0.000297419945426,-2.11503928985e-05,-0.000297417899904,0.0250167384257,0.055541492235,0.0250167375752,0.0290925288274,-0.00165320477818,0.000739788874954,-0.00223334936895,0.000739788250965,2.84892945692e-12,3.42146641607e-10
-8.9680713495,-0.278485084697,-0.792597774479,-0.000273030833237,0.00039044290943,-0.000217965480838,-0.000299000560875,-2.29333933436e-05,-0.000298995836999,0.0240998695511,0.0534320341603,0.0240998668151,0.0362877006427,-0.00166764579249,0.000764909024146,-0.00225242870564,0.000764908645883,1.12716191661e-11,9.96786556359e-13
-8.93807728802,-0.279609181281,-0.795512598843,-0.000278991559439,0.00039227587401,-0.000224158028413,-0.000300693068944,-2.47048613261e-05,-0.000300693016326,0.0231766963461,0.0513118251095,0.0231766979998,0.0433045394593,-0.00168262761179,0.000790060751257,-0.00227073082728,0.000790060900558,2.29282878639e-13,2.14727469122e-10
-8.90808321924,-0.280643611898,-0.798302238779,-0.000284962123369,0.000394029525532,-0.000230456244064,-0.000302501474821,-2.64551149281e-05,-0.00030250129837,0.0222469160531,0.0491801009448,0.0222469123325,0.0501479620651,-0.00169830266684,0.000815276169196,-0.00228832880345,0.000815276188286,4.2786283146e-11,-8.80775176175e-10
